YearMonth,Monthly_Sales,Monthly_Customers
2013-01,180132207,20380423
2013-02,171534275,19244468
2013-03,201180369,21969462
2013-04,183431432,20882360
2013-05,185411063,20723886
2013-06,180702351,20473046
2013-07,208843882,22872045
2013-08,198042727,22314232
2013-09,178053963,20350031
2013-10,187662330,21371258
2013-11,196170924,21543868
2013-12,231710561,23879341
2014-01,187752787,20893187
2014-02,178924677,19972290
2014-03,193019854,21486733
2014-04,194544977,21345650
2014-05,194693257,21505750
2014-06,190047051,20579912
2014-07,173892707,19299298
2014-08,163748475,18516451
2014-09,164516168,18667949
2014-10,164216398,18734892
2014-11,173327953,18686232
2014-12,202120592,20800624
2015-01,198843730,21110481
2015-02,178275458,19481381
2015-03,205631683,21809641
2015-04,197918886,21053991
2015-05,189143897,20193848
2015-06,207363373,21645129
2015-07,212322616,22253888
